,C,adv_dist,adv_dist_std,bestC,noise_dist,orig_dist,orig_dist_std,orig_img,orig_reconstruction_dist,orig_target_dist,orig_target_recon_dist,orig_target_recon_dist_std,recon_dist,recon_dist_std,target_img,target_orig_recon_dist,target_orig_recon_dist_std,target_recon_dist,target_recon_dist_std,target_reconstruction_dist
0,9.53674316406e-07,281.707336426,5.4846944809,954.757080078,39.1829970384,3250.65185547,10.9938306808,8799,602.729675293,64.7263793945,3200.67382812,10.8721828461,3026.50599021,9.33139845286,8326,3250.98657227,5.20701551437,272.476776123,2.59768033028,273.106292725
1,1.26190991523e-06,281.570983887,4.99143218994,954.757080078,39.0764913182,3251.86254883,10.2509441376,8799,602.729675293,64.7263793945,3200.66040039,11.3870782852,3025.98082474,8.93524903356,8326,3250.65185547,5.98877191544,272.893310547,2.60454583168,273.106292725
2,1.66976997207e-06,281.906890869,6.00375938416,954.757080078,39.126911126,3250.36352539,12.5638179779,8799,602.729675293,64.7263793945,3203.21948242,9.72505950928,3025.57715605,10.8115350787,8326,3250.48925781,5.63286495209,273.080230713,2.58412957191,273.106292725
3,2.20945389628e-06,281.561889648,5.38165998459,954.757080078,39.047690368,3250.52197266,11.1957111359,8799,602.729675293,64.7263793945,3200.85839844,11.0075292587,3024.44991,9.41249168805,8326,3249.75415039,5.60693883896,273.29019165,2.81016540527,273.106292725
4,2.92356799036e-06,282.098358154,5.86032152176,954.757080078,39.0666582867,3249.453125,10.9158182144,8799,602.729675293,64.7263793945,3200.94042969,11.1742229462,3022.86449287,9.20156978275,8326,3250.55224609,5.05215978622,273.196472168,2.71246767044,273.106292725
5,3.86849023926e-06,282.012939453,5.77659654617,954.757080078,39.1145081123,3250.64746094,10.3326253891,8799,602.729675293,64.7263793945,3203.5690918,11.3762254715,3026.55965772,8.97235485744,8326,3249.83813477,5.73704814911,272.857940674,2.84170937538,273.106292725
6,5.11881899001e-06,282.905700684,5.61416339874,954.757080078,39.0767207465,3249.75219727,11.3776140213,8799,602.729675293,64.7263793945,3200.10839844,11.6386728287,3027.36268767,9.71117704764,8326,3250.35009766,5.53706645966,273.404541016,2.66825175285,273.106292725
7,6.77326488585e-06,282.96585083,5.26119565964,954.757080078,38.9890185124,3249.42895508,11.5957946777,8799,602.729675293,64.7263793945,3201.48852539,11.3434686661,3020.89774445,10.040457273,8326,3251.40039062,5.7360086441,272.975250244,2.69046568871,273.106292725
8,8.96244182513e-06,282.332824707,5.81742477417,954.757080078,39.0402648428,3251.00024414,10.4105491638,8799,602.729675293,64.7263793945,3200.91113281,12.3447980881,3023.49124938,9.08789697458,8326,3251.30712891,5.00478029251,272.627960205,2.64123034477,273.106292725
9,1.18591788123e-05,281.452453613,5.73225307465,954.757080078,39.1238672431,3249.8684082,11.3305826187,8799,602.729675293,64.7263793945,3201.21459961,11.7085380554,3025.46107249,9.78008652459,8326,3250.30761719,6.10837602615,273.573974609,2.47708439827,273.106292725
